rec_cc,sup_cc,yr,tiv
2,20,1950,342.0
2,20,1951,413.25
2,20,1952,623.25
2,20,1953,413.25
2,20,1954,432.25
2,20,1955,361.0
2,20,1956,382.0
2,20,1957,382.0
2,20,1958,382.0
2,20,1959,397.0
2,20,1960,382.0
2,20,1961,938.25
2,20,1962,938.25
2,20,1963,938.25
2,20,1964,938.25
2,20,1965,52.88
2,20,1970,33.5
2,20,1971,143.5
2,20,1972,33.5
2,20,1973,33.5
2,20,1974,33.5
2,20,1975,33.5
2,20,1979,0.7
2,20,1983,113.94
2,20,1984,113.94
2,20,1985,211.74
2,20,1986,212.34
2,20,1987,211.74
2,20,1988,131.94
2,20,1989,3.6
2,20,1991,12.5
2,20,1993,71.4
2,20,1994,71.4
2,20,1995,170.7
2,20,1997,5.1
2,20,1998,5.1
2,20,1999,374.0
2,20,2000,374.0
2,20,2001,398.5
2,20,2002,1234.2
2,20,2003,1035.4
2,20,2004,1010.9
2,20,2005,1209.7
2,20,2006,1209.7
2,20,2007,1401.7
2,20,2008,764.8
2,20,2009,930.7
2,20,2010,738.7
2,20,2011,672.8
2,20,2012,651.4
2,20,2013,461.6
2,20,2014,374.0
2,20,2015,376.0
2,20,2016,374.0
2,20,2021,6.0
2,20,2022,131.5
2,20,2023,130.0
2,20,2024,130.0
2,20,2025,189.0
2,135,2001,4.4
2,140,2021,13.5
2,140,2022,13.5
2,200,1950,3580.0
2,200,1951,3580.0
2,200,1952,6040.0
2,200,1953,9870.0
2,200,1954,9870.0
2,200,1955,9870.0
2,200,1956,10050.0
2,200,1957,9870.0
2,200,1958,6040.0
2,200,1959,6040.0
2,200,1960,2760.0
2,200,1971,4009.3
2,200,1972,4009.3
2,200,1973,3919.3
2,200,1974,3919.3
2,200,1975,2955.4
2,200,1976,2955.4
2,200,1977,2680.0
2,200,1978,2680.0
2,200,1979,2680.0
2,200,1980,2680.0
2,200,1981,2898.68
2,200,1982,2830.0
2,200,1983,4133.34
2,200,1984,3949.0
2,200,1985,1350.34
2,200,1986,1038.0
2,200,1987,5376.02
2,200,1988,5345.2
2,200,1989,5554.4
2,200,1990,3306.2
2,200,1991,1266.6
2,200,1992,3315.1
2,200,1993,3421.08
2,200,1994,3403.2799999999997
2,200,1995,3398.18
2,200,1996,3380.1
2,200,1997,2957.0
2,200,1998,2057.0
2,200,1999,2387.0
2,200,2000,2376.5
2,200,2001,2345.0
2,200,2002,3363.0
2,200,2003,2349.0
2,200,2004,3363.0
2,200,2005,3363.0
2,200,2006,3208.0
2,200,2007,3208.0
2,200,2008,3626.0
2,200,2009,3242.0
2,200,2010,1235.0
2,200,2011,1235.0
2,200,2012,1685.52
2,200,2013,1229.52
2,200,2015,384.0
2,200,2016,432.0
2,200,2017,384.0
2,200,2018,384.0
2,200,2019,1432.0
2,200,2020,1400.0
2,200,2021,1018.0
2,200,2022,1384.0
2,200,2023,1384.0
2,200,2024,1384.0
2,200,2025,1384.0
2,210,1976,510.0
2,210,1977,510.0
2,210,1979,510.0
2,210,1980,510.0
2,210,1981,510.0
2,210,1982,510.0
2,210,1983,510.0
2,210,1984,515.0
2,210,1985,510.0
2,210,1986,510.0
2,210,1987,510.0
2,210,1988,510.0
2,210,1989,510.0
2,210,1990,510.0
2,210,1991,510.0
2,210,1992,510.0
2,210,2007,16.8
2,210,2008,16.8
2,210,2009,16.8
2,210,2012,954.8
2,210,2013,939.4
2,210,2014,939.4
2,210,2015,939.4
2,210,2016,939.4
2,210,2017,939.4
2,210,2018,939.4
2,210,2019,1035.4
2,210,2020,939.4
2,210,2021,1035.4
2,210,2022,939.4
2,210,2023,939.4
2,210,2024,939.4
2,210,2025,939.4
2,220,1960,50.0
2,220,1961,550.0
2,220,1962,500.0
2,220,1963,650.0
2,220,1964,650.0
2,220,1965,650.0
2,220,1966,650.0
2,220,1967,500.0
