year,ccode1,ccode2,onset,overlap_lag1,both_import_lag1,shared_dominant,shared_us,shared_soviet,ally_defense,cinc_diff,regime_dist,ln_capdist,ln_trade_lag1,py,py2,py3,dyad_id,sd_w5,both_imp_w5,unga,same_top5,pshare_min,dep_asym,shared_us_w5,overlap_w5,hhi,hhi_z,aid_i,aid_j,both_us_aid,ln_min_aid,out_i,out_j,locked,out_min
1955,2,20,0,0.1505028526012444,1,0.0,0.0,0.0,1,0.253233201,0.145,6.599189995613932,8.689009729879698,10,1.0,1.0,2_20,0.0,1,0.2818480000000001,0.0,0.0,,0.0,0.1405413862806056,0.3300820301160397,1.4442636394882593,0.0,32020113.0,0,0.0,1.0,1.0,0.0,1.0
1956,2,20,0,0.0526054657119103,1,0.0,0.0,0.0,1,0.246877847,0.138,6.599189995613932,8.816779130870842,11,1.21,1.331,2_20,0.0,1,0.351939,0.0,0.0,,0.0,0.1166980324168952,0.3106407037896611,1.0853571203872618,0.0,32020113.0,0,0.0,1.0,1.0,0.0,1.0
1957,2,20,0,0.0529616070590444,1,0.0,0.0,0.0,1,0.241841076,0.134,6.599189995613932,8.964375892876271,12,1.44,1.728,2_20,0.0,1,0.4519189999999999,0.0,0.0,,0.0,0.0996693845458417,0.2979267269740795,0.8506442676628179,0.0,9463722.0,0,0.0,0.0,1.0,0.0,0.0
1958,2,20,0,0.3408498920890079,1,0.0,0.0,0.0,1,0.221872605,0.129,6.599189995613932,8.961045331929105,13,1.69,2.197,2_20,0.0,1,0.3036210000000001,0.0,0.0,,0.0,0.1251976504493709,0.2860946377743157,0.6322119510045768,0.0,9463722.0,0,0.0,0.0,1.0,0.0,0.0
1959,2,20,0,0.213797188863159,1,0.0,0.0,0.0,1,0.216137223,0.129,6.599189995613932,8.898939240210545,14,1.96,2.744,2_20,0.0,1,0.6584207999999999,0.0,0.0,,0.0,0.1259269185447797,0.2736168545368727,0.4018594702805096,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0
1960,2,20,0,0.2401693889897156,1,0.0,0.0,0.0,1,0.202999057,0.127,6.599189995613932,8.994408243236805,15,2.25,3.375,2_20,0.0,1,0.4035186,0.0,0.0,,0.0,0.1264731029536427,0.2629851942073634,0.2055882829618235,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0
1961,2,20,0,0.0156641604010025,1,0.0,0.0,0.0,1,0.198086355,0.134,6.599189995613932,8.935916697240316,16,2.56,4.096,2_20,0.0,1,0.1958269999999999,0.0,0.0,,0.0,0.1594138367042599,0.2628358546532858,0.2028313239653924,0.0,0.0,0,0.0,1.0,1.0,0.0,1.0
1962,2,20,0,0.0052586603562742,1,0.0,0.0,0.0,1,0.197281416,0.142,6.599189995613932,8.9643502898885,17,2.89,4.913,2_20,0.0,1,0.4404489999999998,0.0,0.0,,0.0,0.1357883259393319,0.2611751114518097,0.1721723271687745,0.0,61569689.0,0,0.0,1.0,1.0,0.0,1.0
1963,2,20,0,0.0062397044875954,1,0.0,0.0,0.0,1,0.195517246,0.1369999999999999,6.599189995613932,9.03683181833525,18,3.24,5.832,2_20,0.0,1,0.1785259999999999,0.0,0.0,,0.0,0.0681456009393609,0.2630203533476695,0.2062373562014783,0.0,61569689.0,0,0.0,2.0,1.0,0.0,1.0
1964,2,20,0,0.0060779558618845,1,0.0,0.0,0.0,1,0.190224016,0.1379999999999999,6.599189995613932,9.071790717483042,19,3.61,6.859,2_20,0.0,1,,0.0,0.0,,0.0,0.0524790324599666,0.2692829450187563,0.321851123466469,0.0,61569689.0,0,0.0,2.0,0.0,0.0,0.0
1965,2,20,0,0.0011088415523781,1,0.0,0.0,0.0,1,0.188792103,0.1439999999999999,6.599189995613932,9.199552410608504,20,4.0,8.0,2_20,0.0,1,0.3144770000000001,0.0,0.0,,0.0,0.0397743600128635,0.2830949386009003,0.5768344746633735,0.0,61569689.0,0,0.0,2.0,0.0,0.0,0.0
1966,2,20,0,0.0006347191367819,1,0.0,0.0,0.0,1,0.196484762,0.124,6.599189995613932,9.34239442387008,21,4.41,9.261,2_20,0.0,1,0.3270169999999999,0.0,0.0,,0.0,0.0042348484897994,0.2936362257653332,0.7714372820807506,0.0,61569689.0,0,0.0,1.0,0.0,0.0,0.0
1967,2,20,0,0.0,1,0.0,0.0,0.0,1,0.196525513,0.1169999999999999,6.599189995613932,9.54182160279464,22,4.84,10.648,2_20,0.0,1,0.6371849999999999,0.0,0.0,,0.0,0.0035273201972149,0.2943404242638018,0.7844374975803774,0.0,0.0,0,0.0,1.0,1.0,0.0,1.0
