year,ccode1,ccode2,mid,onset,overlap_lag1,both_import_lag1,ally_defense,cinc_diff,regime_dist,ln_capdist,ln_trade_lag1,unga_ideal_dist,py,py2,py3,dyad_id,shared_dominant,shared_us
1990,2,20,0,0,0.0113768069569174,1,1,0.1302376069999999,0.03,6.599189995613932,12.052663215909089,1.581097,1,0.01,0.001,2_20,0.0,0.0
1990,2,31,0,0,0.0,0,1,0.141202139948,,7.339472758234367,7.308260775189227,3.02923239,45,20.25,91.125,2_31,,
1990,2,40,1,1,0.0,1,0,0.138005445,0.792,7.510211594257578,1.4321755124971924,4.665731,3,0.09,0.027,2_40,0.0,0.0
1990,2,41,0,0,0.0,0,1,0.1408333447799999,0.661,7.74478632987066,6.297141363619426,3.2925456,27,7.29,19.683,2_41,,
1990,2,42,0,0,0.0,0,1,0.14055454019,0.4029999999999999,7.771573073595175,7.86955728151537,3.08947385,29,8.41,24.389,2_42,,
1990,2,51,0,0,0.0,1,1,0.1410977112,0.286,7.75143230634378,7.306131990327443,3.2028009,45,20.25,91.125,2_51,0.0,0.0
1990,2,52,0,0,0.0,0,1,0.14087383421,0.119,8.159689332593896,7.282827019362507,3.5526656,45,20.25,91.125,2_52,,
1990,2,53,0,0,0.0,0,1,0.141233705486,0.1149999999999999,8.114444390802301,5.654294742242604,3.2114993,45,20.25,91.125,2_53,,
1990,2,54,0,0,0.0,0,1,0.1412509304769,,8.01865839173448,3.75033883330582,2.7348577,45,20.25,91.125,2_54,,
1990,2,55,0,0,0.0,0,1,0.1412496895418999,,8.115371438222871,3.6717238852652105,3.0875215700000003,7,0.49,0.343,2_55,,
1990,2,56,0,0,0.0,0,1,0.1412488935332,,8.066176170339109,4.698198673802822,3.192217,45,20.25,91.125,2_56,,
1990,2,57,0,0,0.0,0,1,0.1412491870884999,,8.0889608659541,4.191757544737816,2.9528693,45,20.25,91.125,2_57,,
1990,2,58,0,0,0.0,0,1,0.1412503273412,,7.950044099263958,4.471090105719173,3.12543225,45,20.25,91.125,2_58,,
1990,2,60,0,0,0.0,0,1,0.1412511888829999,,7.928297912228324,4.502195666021736,2.9417891000000003,45,20.25,91.125,2_60,,
1990,2,70,0,0,0.0118887632699787,1,1,0.129210728,0.475,8.017307507688582,10.707738646324806,3.8453966,45,20.25,91.125,2_70,0.0,0.0
