dispnum,ccode1,ccode2,styear,war,fatal,dyad_id,year,sd_w5,shared_us_w5,same_top5,both_imp_w5,ally_defense,cinc_diff,regime_dist,ln_capdist,ln_trade_lag1,py,py2,py3,unga,cwera
27,2,265,1961,0,0.0,2_265,1961,0.0,0.0,0.0,1.0,0.0,0.2016128403,0.497,8.811667146724973,2.079441541679836,3.0,0.09,0.027,,1
27,2,290,1961,0,0.0,2_290,1961,0.0,0.0,0.0,1.0,0.0,0.196214335,0.477,8.878985021734431,5.220355825078324,16.0,2.56,4.096,3.967554,1
27,2,365,1961,0,0.0,2_365,1961,0.0,0.0,0.0,1.0,0.0,0.03689581,0.56,8.964861739409468,4.189654742026425,1.0,0.01,0.001,3.97853,1
27,2,315,1961,0,0.0,2_315,1961,0.0,0.0,0.0,1.0,0.0,0.199320409,0.471,8.839146247295385,2.995732273553991,4.0,0.16,0.064,3.966962,1
27,200,265,1961,0,0.0,200_265,1961,0.0,0.0,0.0,1.0,0.0,0.0310488753,0.639,6.837761907161602,3.7328963156072654,16.0,2.56,4.096,,1
27,200,290,1961,0,0.0,200_290,1961,0.0,0.0,0.0,1.0,0.0,0.02565037,0.619,7.278835960228471,4.969813299576001,16.0,2.56,4.096,3.96569,1
27,200,365,1961,0,0.0,200_365,1961,0.0,0.0,0.0,1.0,0.0,0.133668155,0.7020000000000001,7.824685806143631,5.911880040694213,2.0,0.04,0.008,3.976666,1
27,200,315,1961,0,0.0,200_315,1961,0.0,0.0,0.0,1.0,0.0,0.028756444,0.613,6.940899877574439,4.0465539158682695,8.0,0.64,0.512,3.965098,1
27,260,265,1961,0,0.0,260_265,1961,,,,0.0,0.0,0.0314286353,0.6659999999999999,6.171909343889077,,16.0,2.56,4.096,,1
27,260,290,1961,0,0.0,260_290,1961,,,,,,,,,,,,,,1
27,260,365,1961,0,0.0,260_365,1961,,,,0.0,0.0,0.133288395,0.729,7.6440577298560095,,16.0,2.56,4.096,,1
27,260,315,1961,0,0.0,260_315,1961,,,,0.0,0.0,0.029136204,0.6399999999999999,6.262826670692666,,16.0,2.56,4.096,,1
27,220,265,1961,0,0.0,220_265,1961,0.0,0.0,0.0,1.0,0.0,0.0213457343,0.579,6.778671125570599,3.100092333923278,16.0,2.56,4.096,,1
27,220,290,1961,0,0.0,220_290,1961,0.0,0.0,0.0,1.0,0.0,0.015947229,0.5589999999999999,7.221031996095399,3.627003997204358,16.0,2.56,4.096,3.562328,1
27,220,365,1961,0,0.0,220_365,1961,0.0,0.0,0.0,1.0,0.0,0.143371296,0.642,7.8191942601252675,5.353278924622011,2.0,0.04,0.008,3.5733040000000003,1
27,220,315,1961,0,0.0,220_315,1961,0.0,0.0,0.0,1.0,0.0,0.019053303,0.5529999999999999,6.78332520060396,3.370738174177447,16.0,2.56,4.096,3.561736,1
28,220,616,1961,0,1.0,220_616,1961,0.0,0.0,0.0,1.0,0.0,0.02981203543,0.5549999999999999,7.3006753595880065,5.216564864675778,1.0,0.01,0.001,1.5822694,1
53,2,710,1956,0,0.0,2_710,1956,0.0,0.0,0.0,1.0,0.0,0.162476004,0.542,9.31898847758312,0.0,1.0,0.01,0.001,,1
61,2,40,1962,0,0.0,2_40,1962,0.0,0.0,0.0,1.0,1.0,0.2062592572,0.599,7.510211594257578,3.951243718581428,1.0,0.01,0.001,4.143067,1
61,2,365,1962,0,0.0,2_365,1962,0.0,0.0,0.0,1.0,0.0,0.0335742199999999,0.5730000000000001,8.964861739409468,4.276666119016055,1.0,0.01,0.001,4.293673,1
92,220,481,1964,0,1.0,220_481,1964,0.0,0.0,0.0,1.0,1.0,0.028796861477,0.636,8.600154712130585,4.3969152102218185,19.0,3.61,6.859,,1
122,200,645,1961,0,0.0,200_645,1961,0.0,0.0,0.0,1.0,0.0,0.0379690805,0.7180000000000001,8.316642488754661,5.513025398702298,3.0,0.09,0.027,3.00787,1
122,630,645,1961,0,0.0,630_645,1961,0.0,0.0,0.0,1.0,0.0,0.0038296289,0.0289999999999999,6.544199573951183,1.5686159179138452,1.0,0.01,0.001,1.7869987,1
122,645,651,1961,0,0.0,645_651,1961,1.0,0.0,1.0,1.0,1.0,0.0042751727,0.0579999999999999,7.168733968599368,0.641853875646079,2.0,0.04,0.008,0.076078,1
122,645,690,1961,0,0.0,645_690,1961,0.0,0.0,0.0,1.0,1.0,0.00144127394,0.092,6.324358962381311,,16.0,2.56,4.096,,1
122,645,670,1961,0,0.0,645_670,1961,0.0,0.0,0.0,1.0,1.0,0.0006192819999999,0.076,6.896289800872859,0.9555114450274363,16.0,2.56,4.096,0.6590712000000001,1
122,616,645,1961,0,0.0,616_645,1961,,,,,,,,,,,,,,1
122,645,663,1961,0,0.0,645_663,1961,0.0,0.0,0.0,1.0,1.0,0.00156680586,0.047,6.69369534640097,1.1151415906193205,12.0,1.44,1.728,0.9887134,1
122,625,645,1961,0,0.0,625_645,1961,,,,,,,,,,,,,,1
125,2,651,1958,0,0.0,2_651,1958,0.0,0.0,0.0,1.0,0.0,0.2291480817,0.472,9.143227874334848,4.206184014171376,1.0,0.01,0.001,2.27424,1
125,2,365,1958,0,0.0,2_365,1958,0.0,0.0,0.0,1.0,0.0,0.0635165799999999,0.519,8.964861739409468,3.440418126866718,1.0,0.01,0.001,3.887321,1
125,2,645,1958,0,0.0,2_645,1958,1.0,0.0,1.0,1.0,0.0,0.2326933652,0.471,9.207386012149746,4.414009656313857,13.0,1.69,2.197,2.126307,1
125,200,651,1958,0,0.0,200_651,1958,0.0,0.0,0.0,1.0,0.0,0.0398811787,0.649,8.164197186161838,4.100989138053351,2.0,0.04,0.008,3.601099,1
125,200,365,1958,0,0.0,200_365,1958,0.0,0.0,0.0,1.0,0.0,0.125750323,0.6960000000000001,7.824685806143631,5.773308568399338,2.0,0.04,0.008,5.21418,1
