year,ccode1,ccode2,onset,sd_w5,same_top5,ally_ff,regime_dist,ln_capdist,py,py2,py3,dyad_id
2015,2,20,0,0,0,1,0.09299999999999997,6.599189995613932,18,3.24,5.832,2_20
2015,2,31,0,0,0,1,,7.3394727582343675,70,49.0,343.0,2_31
2015,2,42,0,0,0,1,0.31000000000000005,7.771573073595175,54,29.16,157.464,2_42
2015,2,51,0,0,0,1,0.10199999999999998,7.75143230634378,70,49.0,343.0,2_51
2015,2,52,0,0,0,1,0.10899999999999999,8.159689332593896,70,49.0,343.0,2_52
2015,2,70,0,0,0,1,0.257,8.017307507688582,70,49.0,343.0,2_70
2015,2,90,0,0,0,1,0.31300000000000006,8.008698182988528,57,32.49,185.193,2_90
2015,2,91,0,0,0,1,0.47400000000000003,7.984462732262196,70,49.0,343.0,2_91
2015,2,92,0,0,0,1,0.242,8.022011231638267,70,49.0,343.0,2_92
2015,2,93,0,0,0,1,0.5820000000000001,8.043310046571964,27,7.29,19.683,2_93
2015,2,100,0,0,0,1,0.21899999999999997,8.249313746260636,70,49.0,343.0,2_100
2015,2,101,0,0,0,1,0.6000000000000001,8.106755741681516,5,0.25,0.125,2_101
2015,2,115,0,0,0,1,0.14300000000000002,8.362011980774454,70,49.0,343.0,2_115
2015,2,130,0,0,0,1,0.367,8.378896175512146,34,11.56,39.304,2_130
2015,2,135,0,0,0,1,0.08300000000000007,8.64207982555697,23,5.29,12.167,2_135
2015,2,140,0,0,0,1,0.039000000000000035,8.823574341300503,70,49.0,343.0,2_140
2015,2,145,0,0,0,1,0.29100000000000004,8.737083456528955,70,49.0,343.0,2_145
2015,2,150,0,0,0,1,0.30700000000000005,8.911813035004199,70,49.0,343.0,2_150
2015,2,155,0,0,0,1,0.014000000000000012,8.996292826287206,70,49.0,343.0,2_155
2015,2,160,0,0,0,1,0.135,9.035498770436053,70,49.0,343.0,2_160
2015,2,165,0,0,0,1,0.0030000000000000027,9.044958524708006,70,49.0,343.0,2_165
2015,2,200,0,0,0,1,0.04500000000000004,8.682639830985348,70,49.0,343.0,2_200
2015,2,205,0,0,0,0,0.0050000000000000044,8.602471400671329,70,49.0,343.0,2_205
2015,2,210,0,0,0,1,0.02100000000000002,8.730787291514298,70,49.0,343.0,2_210
2015,2,211,0,0,1,1,0.0010000000000000009,8.735171425418226,70,49.0,343.0,2_211
2015,2,212,0,0,0,1,0.026000000000000023,8.76209823451196,70,49.0,343.0,2_212
2015,2,220,0,0,0,1,0.017000000000000015,8.726886695006042,70,49.0,343.0,2_220
2015,2,225,0,0,0,0,0.0030000000000000027,8.79476432011729,56,31.36,175.616,2_225
2015,2,230,0,0,0,1,0.04400000000000004,8.714370519442179,70,49.0,343.0,2_230
2015,2,235,0,0,0,1,0.013000000000000012,8.65486599654131,70,49.0,343.0,2_235
2015,2,255,0,0,0,1,0.017000000000000015,8.81169694321495,70,49.0,343.0,2_255
2015,2,290,0,0,0,1,0.02400000000000002,8.878985021734431,54,29.16,157.464,2_290
2015,2,305,0,0,0,0,0.027000000000000024,8.871365005136852,55,30.25,166.375,2_305
2015,2,310,0,0,0,1,0.28300000000000003,8.9005762763782,64,40.96,262.144,2_310
2015,2,316,0,0,0,1,0.04800000000000004,8.839146247295385,70,49.0,343.0,2_316
2015,2,317,0,0,0,0,0.062000000000000055,8.878413788202817,70,49.0,343.0,2_317
2015,2,325,0,0,0,1,0.03500000000000003,8.884305476312335,70,49.0,343.0,2_325
2015,2,338,0,0,0,0,0.122,8.951945220149295,70,49.0,343.0,2_338
2015,2,339,0,0,0,0,0.382,8.957420369736672,57,32.49,185.193,2_339
2015,2,343,0,0,0,0,0.46,8.966037022826347,70,49.0,343.0,2_343
2015,2,344,0,0,0,0,0.08400000000000007,8.886671817269994,70,49.0,343.0,2_344
2015,2,345,0,0,0,0,0.47800000000000004,8.934626395300256,15,2.25,3.375,2_345
2015,2,347,0,0,0,0,0.249,8.958295677115533,70,49.0,343.0,2_347
2015,2,349,0,0,0,0,0.027000000000000024,8.871140418515655,70,49.0,343.0,2_349
2015,2,350,0,0,0,1,0.020000000000000018,9.018937706446035,31,9.61,29.791,2_350
2015,2,352,0,0,0,0,0.049000000000000044,9.11770959935228,70,49.0,343.0,2_352
2015,2,355,0,0,0,0,0.22899999999999998,8.976350713721176,64,40.96,262.144,2_355
2015,2,360,0,0,0,0,0.18400000000000005,8.984543303196409,64,40.96,262.144,2_360
2015,2,365,0,0,0,0,0.635,8.964861739409468,1,0.01,0.001,2_365
2015,2,366,0,0,0,0,0.006000000000000005,8.848609812780875,70,49.0,343.0,2_366
2015,2,367,0,0,0,0,0.062000000000000055,8.864435790323979,70,49.0,343.0,2_367
2015,2,368,0,0,0,0,0.06400000000000006,8.891814138229396,70,49.0,343.0,2_368
2015,2,369,0,0,0,0,0.48000000000000004,8.96631786433146,70,49.0,343.0,2_369
2015,2,370,0,0,0,0,0.653,8.91519048467688,70,49.0,343.0,2_370
2015,2,371,0,0,0,0,0.554,9.149400700536827,70,49.0,343.0,2_371
2015,2,372,0,0,0,0,0.23199999999999998,9.137898703075466,70,49.0,343.0,2_372
2015,2,373,0,0,0,0,0.7070000000000001,9.1784781188274,70,49.0,343.0,2_373
2015,2,375,0,0,0,0,0.031000000000000028,8.843889224880318,70,49.0,343.0,2_375
2015,2,380,0,0,0,0,0.015000000000000013,8.800490665550194,70,49.0,343.0,2_380
2015,2,385,0,0,0,1,0.0040000000000000036,8.737789501263753,70,49.0,343.0,2_385
2015,2,390,0,0,0,1,0.02100000000000002,8.781494041030106,70,49.0,343.0,2_390
2015,2,395,0,0,0,1,0.039000000000000035,8.415736158358627,70,49.0,343.0,2_395
2015,2,402,0,0,0,0,0.10499999999999998,8.672314828283538,70,49.0,343.0,2_402
2015,2,411,0,0,0,0,0.722,9.146889259395566,70,49.0,343.0,2_411
2015,2,432,0,0,0,0,0.357,8.898734391405029,70,49.0,343.0,2_432
2015,2,433,0,0,0,0,0.17400000000000004,8.75965297724703,70,49.0,343.0,2_433
2015,2,434,0,0,0,0,0.248,9.065649803854416,70,49.0,343.0,2_434
2015,2,435,0,0,0,0,0.46900000000000003,8.744440311563185,70,49.0,343.0,2_435
2015,2,436,0,0,0,0,0.278,9.0044471740685,70,49.0,343.0,2_436
2015,2,437,0,0,0,0,0.42700000000000005,9.00794263047263,11,1.21,1.331,2_437
2015,2,438,0,0,0,0,0.525,8.86047079036889,70,49.0,343.0,2_438
2015,2,439,0,0,0,0,0.524,8.974731956016894,70,49.0,343.0,2_439
