year,ccode1,ccode2,overlap
1950,2,20,0.2458134890152097
1950,2,101,0.912799592044875
1950,2,135,0.08720040795512493
1950,2,205,0.6211809904793968
1950,2,210,0.8644747743426503
1950,2,211,0.8669354838709677
1950,2,225,0.7405489383738996
1950,2,235,0.08720040795512493
1950,2,325,0.42070877054048705
1950,2,350,0.024045686804929363
1950,2,380,0.912799592044875
1950,2,385,0.7556935817805384
1950,2,390,0.4745762711864407
1950,2,552,0.912799592044875
1950,2,560,0.912799592044875
1950,2,651,0.5720655682011211
1950,2,652,0.4301665751418634
1950,2,660,0.08720040795512493
1950,2,663,0.912799592044875
1950,2,666,0.783744557329463
1950,2,670,0.912799592044875
1950,2,732,0.004120652711389484
1950,2,750,0.912799592044875
1950,2,770,0.912799592044875
1950,2,775,0.912799592044875
1950,2,780,0.912799592044875
1950,2,800,0.36467468896593924
1950,2,900,0.912799592044875
1950,2,920,0.912799592044875
1950,20,41,0.7541865109847903
1950,20,42,0.7541865109847903
1950,20,92,0.7541865109847903
1950,20,100,0.7541865109847903
1950,20,101,0.27971179409995545
1950,20,150,0.7541865109847903
1950,20,155,0.7541865109847903
1950,20,160,0.7541865109847903
1950,20,165,0.7541865109847903
1950,20,200,0.7541865109847903
1950,20,205,0.2458134890152097
1950,20,210,0.38133871467255936
1950,20,211,0.37887800514424197
1950,20,220,0.7541865109847903
1950,20,225,0.2458134890152097
1950,20,230,0.7541865109847903
1950,20,325,0.8185053652113425
1950,20,350,0.7782321977897196
1950,20,380,0.2458134890152097
1950,20,385,0.4901199072346714
1950,20,390,0.771237217828769
1950,20,552,0.2458134890152097
1950,20,560,0.2458134890152097
1950,20,630,0.7541865109847903
1950,20,640,0.7541865109847903
1950,20,651,0.3470959758506097
1950,20,652,0.26777944178841123
1950,20,663,0.2458134890152097
1950,20,666,0.3169310506988091
1950,20,670,0.2458134890152097
1950,20,678,0.7541865109847903
1950,20,732,0.7541865109847903
1950,20,750,0.2458134890152097
1950,20,770,0.2669876949824859
1950,20,775,0.2458134890152097
1950,20,780,0.2458134890152097
1950,20,800,0.8811388000492705
1950,20,850,0.010702341137123745
1950,20,900,0.2458134890152097
1950,20,920,0.2458134890152097
1950,41,42,1.0
1950,41,92,1.0
1950,41,100,1.0
1950,41,101,0.03389830508474576
1950,41,150,1.0
1950,41,155,1.0
