year,mid_dyads,onset_dyads,n_importers,overlap_pairs,onset_with_overlap_data
1990,59,55,104,2581,47
1991,71,23,95,2224,20
1992,36,31,91,1857,21
1993,67,44,88,1807,17
1994,70,30,97,2238,10
1995,58,23,101,2134,10
1996,61,22,101,2302,10
1997,53,28,99,2414,7
1998,72,42,97,2350,20
1999,93,41,104,2410,10
2000,83,32,104,2056,22
2001,61,29,96,2191,9
2002,46,25,99,2217,12
2003,57,30,93,2023,17
2004,41,21,101,2017,14
2005,47,23,107,2188,11
2006,29,6,105,2579,3
2007,24,9,108,2407,7
2008,33,17,105,2335,11
2009,29,9,115,3041,6
2010,27,15,116,3017,11
2011,81,66,116,3446,55
2012,46,19,120,3217,14
2013,60,29,117,3237,20
2014,55,20,118,3247,17
