region,era,N,on,OR,lo,hi,p,lean
MENA,Cold War 1955-89,1318,84,0.5400050848373699,0.2080902944412812,1.4013411458384961,0.20534771476387936,False
MENA,Post-1990,1016,41,0.5027929221824518,0.17939454473086852,1.4091884620907837,0.1909925282213123,False
Asia-Pacific,Cold War 1955-89,1465,75,0.9225546518672505,0.5061732122998882,1.6814542235744694,0.7923931942245122,False
Asia-Pacific,Post-1990,1705,85,1.4497310179943586,0.7477467718598185,2.81073767701798,0.2715789047140268,False
Europe,Cold War 1955-89,3429,48,1.2549450086006892,0.5403191760668179,2.914734557592359,0.5973666537855135,False
Europe,Post-1990,3500,30,0.47793048943048816,0.11686831511506936,1.954486573220162,0.3042187166960193,False
SubSah.Africa,Cold War 1955-89,911,28,0.568579095642562,0.1483786951910443,2.178764192429872,0.4100639168164739,False
SubSah.Africa,Post-1990,506,11,1.116962301066361,0.1977280322211896,6.309701097959746,0.9003559400230857,True
S.America,Cold War 1955-89,628,19,1.4736421641749415,0.3285618838813172,6.609473997350942,0.6125870652218295,False
S.America,Post-1990,388,9,3.1622675733344153e-10,2.2780793524075593e-11,4.38963471346774e-09,1.0098314694145346e-59,True
N.Am/Carib,Cold War 1955-89,653,20,0.7305860679668775,0.2474809820816135,2.1567556351917276,0.5697887415712634,False
cross-region,Cold War 1955-89,13579,157,0.5267608328798037,0.294637804756448,0.941756185312306,0.030584306913626055,False
cross-region,Post-1990,12989,90,0.5653020521335865,0.22702483866065737,1.4076275179039426,0.22040761692768962,False
